id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob,interaction
194862,GEO-1992-1-289-178,1992,True,Clear,1,380,380,Georgia: Government,813,813,Government of Georgia - Zviadists,63,63,Government of Georgia,333,333,Zviadists,-1,Reuters 1992-07-13 LAST-MINUTE SNAG THREATENS GEORGIA PEACE-KEEPING.,-,-,-,-,2,Tskhinvali town,Georgian village near Tskhinvali,South Ossetia,-,42.227636,43.968608,POINT (43.968608 42.227636),190528,Georgia,372,Europe,1,1,07/13/1992 00:00:00,07/13/1992 00:00:00,1,0,0,0,1,1,1,372.0,-,41
194863,GEO-1992-1-259-239,1992,True,Clear,1,392,392,Georgia: Abkhazia,839,839,Government of Georgia - Republic of Abkhazia,63,63,Government of Georgia,342,342,Republic of Abkhazia,-1,BBC 1992-10-01 Further losses reported in fighting in Abkhazia.,-,-,-,-,4,Abkhazia region,-,Abkhazia region,-,43.0,41.5,POINT (41.5 43),191964,Georgia,372,Europe,1,1,09/30/1992 00:00:00,09/30/1992 00:00:00,0,10,0,0,10,10,10,372.0,-,41
194885,GEO-1992-1-259-240,1992,True,Clear,1,392,392,Georgia: Abkhazia,839,839,Government of Georgia - Republic of Abkhazia,63,63,Government of Georgia,342,342,Republic of Abkhazia,-1,Reuters 1992-10-02 Shevardnadze says force to be used in rebel region.,-,-,-,Georgian miltiary commander  and Russian TV,1,Gagra town,Gagra,Abkhazia region,Gagra district,43.303869,40.256137,POINT (40.256137 43.303869),191961,Georgia,372,Europe,2,2,10/01/1992 00:00:00,10/02/1992 00:00:00,6,15,0,0,21,21,21,372.0,-,41
194886,GEO-1992-1-259-241,1992,True,Clear,1,392,392,Georgia: Abkhazia,839,839,Government of Georgia - Republic of Abkhazia,63,63,Government of Georgia,342,342,Republic of Abkhazia,-1,"Reuters 1992-10-03 Georgia claims Russian weapons to fight internal ""war"".",-,-,-,Abkazian officials,4,Abkhazia region,-,Abkhazia region,-,43.0,41.5,POINT (41.5 43),191964,Georgia,372,Europe,2,2,10/02/1992 00:00:00,10/03/1992 00:00:00,0,0,0,9,9,24,9,372.0,-,41
194891,GEO-1992-1-289-179,1992,True,Clear,1,380,380,Georgia: Government,813,813,Government of Georgia - Zviadists,63,63,Government of Georgia,333,333,Zviadists,-1,BBC 1992-09-28 Gamsakhurdia supporters stage counter-attack.,-,-,-,head of temporary police staff,1,Chobi town,Khobi,Samegrelo-Zemo Svaneti rerion,Khobi district,42.318078,41.899979,POINT (41.899979 42.318078),190524,Georgia,372,Europe,1,1,09/26/1992 00:00:00,09/26/1992 00:00:00,1,0,0,0,1,1,1,372.0,-,41
194892,GEO-1992-1-289-180,1992,True,Clear,1,380,380,Georgia: Government,813,813,Government of Georgia - Zviadists,63,63,Government of Georgia,333,333,Zviadists,-1,BBC 1992-10-01 Further losses reported in fighting in Abkhazia.,-,-,-,Georgian Defense ministry,1,Senaki town,"Senaki, Abkhazia",Samegrelo-Zemo Svaneti rerion,Senaki district,42.268889,42.079167,POINT (42.079167 42.268889),190525,Georgia,372,Europe,1,1,09/30/1992 00:00:00,09/30/1992 00:00:00,0,0,0,4,4,4,4,372.0,-,41
194897,GEO-1992-1-259-242,1992,True,Clear,1,392,392,Georgia: Abkhazia,839,839,Government of Georgia - Republic of Abkhazia,63,63,Government of Georgia,342,342,Republic of Abkhazia,-1,"Reuters 1992-10-05 Problems of Georgia, Russian economy face Yeltsin.",-,-,-,Georgian ministry,4,Abkhazia region,"black sea, near Abkhazia",Abkhazia region,-,43.0,41.5,POINT (41.5 43),191964,Georgia,372,Europe,1,1,10/05/1992 00:00:00,10/05/1992 00:00:00,2,0,0,0,2,2,2,372.0,-,41
194912,GEO-1992-1-297-193.1,1992,True,Clear,1,393,393,Georgia: South Ossetia,840,840,Government of Georgia - Republic of South Ossetia,63,63,Government of Georgia,343,343,Republic of South Ossetia,-1,Reuters 1992-06-25 SOUTH OSSETIA CONDEMNS RUSSIAN-GEORGIAN DEAL.,-,-,-,South Ossetian foreign minister,1,Tskhinvali town,Tskhinvali,South Ossetia,-,42.227636,43.968608,POINT (43.968608 42.227636),190528,Georgia,372,Europe,1,1,06/24/1992 00:00:00,06/24/1992 00:00:00,0,0,0,4,4,4,4,372.0,-,41
194913,GEO-1992-1-259-243,1992,True,Clear,1,392,392,Georgia: Abkhazia,839,839,Government of Georgia - Republic of Abkhazia,63,63,Government of Georgia,342,342,Republic of Abkhazia,-1,Reuters 1992-10-11 Shevardnadze on course to win Georgian election.,-,-,-,Itar-tass news agency,4,Abkhazia region,while flying from Ochamchire to Sukhumi,Abkhazia region,-,43.0,41.5,POINT (41.5 43),191964,Georgia,372,Europe,1,1,10/11/1992 00:00:00,10/11/1992 00:00:00,0,0,0,2,2,2,2,372.0,-,41
194955,GEO-1992-1-297-191,1992,True,Clear,1,393,393,Georgia: South Ossetia,840,840,Government of Georgia - Republic of South Ossetia,63,63,Government of Georgia,343,343,Republic of South Ossetia,-1,Reuters 1992-06-22 GEORGIAN SEPARATISTS WANT TO MERGE WITH RUSSIA.,-,-,-,Moscow radio,1,Tskhinvali town,Tskhinvali,South Ossetia,-,42.227636,43.968608,POINT (43.968608 42.227636),190528,Georgia,372,Europe,1,1,06/22/1992 00:00:00,06/22/1992 00:00:00,0,0,0,2,2,3,2,372.0,-,41
